name,room_type,price,minimum_nights,number_of_reviews,reviews_per_month
Dove’s Roost,Entire home/apt,250,2,3,0.63
Spacious bedroom  almost a full place,Private room,50,30,0,
CLEAN & SANITIZED SoCo Luxury Long Term Rental!,Entire home/apt,217,90,0,
At Longhorn Suites Austin Near Downtown/UT/Expo,Private room,65,1,6,1.08
Hidden Oasis near Lake Austin Guesthouse #1 Only,Entire home/apt,250,2,2,0.72
*JUST LISTED*Close to Everything with Hot tub,Entire home/apt,529,3,1,0.28
WanderJaunt | Ransom | 1BR | Downtown Austin,Entire home/apt,167,1,9,1.72
WanderJaunt | Rayburn | 1BR | Downtown Austin,Entire home/apt,134,1,6,1.13
Relaxing Club Wyndham Austin  1 Bedroom Deluxe,Entire home/apt,245,2,0,
Relaxing Club Wyndham Austin  2 Bedroom Deluxe,Entire home/apt,278,2,0,
WanderJaunt | Lyndon | 1BR | Downtown Austin,Entire home/apt,137,1,15,2.98
Designer Eastside Hideaway w/ High Walkability,Entire home/apt,189,2,7,1.41
Luxurious Corporate Rental (All Bills Paid),Entire home/apt,78,30,1,0.43
LOCATION / LUXURY in the heart of downtown!,Entire home/apt,114,3,0,
Hyde Park House in the Trees,Entire home/apt,65,18,0,
Nice and cozy room in SE Austin close to airport!,Private room,25,5,8,1.68
Very clean Condo in the heart of Austin Downtown!,Entire home/apt,150,30,0,
At Longhorn Suites Austin Near Downtown/UT/Expo,Private room,67,1,7,1.3
WanderJaunt | Cavelier | 1BR | Downtown Austin,Entire home/apt,112,1,22,5.74
WanderJaunt | Wooten | 1BR | Downtown Austin,Entire home/apt,103,1,18,3.62
WanderJaunt | Bicker | 1BR | Downtown Austin,Entire home/apt,101,1,17,3.17
Large and Inviting Home in Southeast Austin,Entire home/apt,195,2,9,1.93
WanderJaunt | Windsor | 1BR | Downtown Austin,Entire home/apt,156,1,6,1.14
4BR / 3.5BA Home with Incredible Lake Views!,Entire home/apt,313,2,6,1.61
Capitol View Condos | Downtown Austin - Lone Star,Entire home/apt,164,2,16,4.29
Large and Luxurious East-Side Retreat,Entire home/apt,524,2,3,0.77
Private Quiet Bedroom Centrally Located,Private room,200,2,1,0.25
The Sea Shell vintage tiny home,Entire home/apt,56,3,4,0.9
At Longhorn Suites Austin Near Downtown/UT/Expo,Private room,65,1,25,4.87
Cool lofty flat in the ❤️,Entire home/apt,300,1,0,
The Lofty Lime Apartment,Entire home/apt,81,2,20,5.71
New  Luxury Home! Central location just off Burnet,Entire home/apt,196,2,13,2.87
Mueller/Downtown Backyard Cottage,Entire home/apt,78,2,9,1.8
Professionalism  class  comfort high end east atx,Entire home/apt,500,1,1,0.23
Charming 3/2 in NC Austin,Entire home/apt,73,3,5,1.09
New - Family Fun Vacation Home w/ Amazing View  Pool  Hot Tub  Basketball Court and 2 spacious decks,Entire home/apt,1583,2,1,0.49
Austin Modern Getaway + HUGE balcony,Entire home/apt,140,2,5,1.5
Modern Townhouse in Mueller,Entire home/apt,130,30,1,0.37
Clarksville 1 bedroom charmer,Entire home/apt,85,1,13,3.05
Austin Modern Getaway + HUGE balcony,Entire home/apt,129,2,3,1.32
Austin Modern Getaway + HUGE balcony,Entire home/apt,134,2,5,0.98
Austin Getaway + HUGE balcony  Sleeps 10 w/7 beds,Entire home/apt,134,2,5,0.97
Stylish Spacious Stay Near Downtown Austin + Pool,Entire home/apt,173,2,3,0.77
Austin Modern Getaway + HUGE balcony,Entire home/apt,123,2,3,0.6
Central Austin Spacious Condo,Entire home/apt,130,2,6,1.54
A homey place just for you | 1BR in Austin,Entire home/apt,97,30,0,
Wyndham Resort Austin 2BR Presidential,Private room,350,3,0,
Austin Modern Getaway + HUGE Corner Balcony,Entire home/apt,133,2,5,1.03
♥Last Minute Get-Away♥ATX Staycation♥Discounts♥,Entire home/apt,132,1,15,3.13
★Close to Everything | Business Travelers Welcome★,Entire home/apt,74,1,7,1.52
★ Gorgeous & Upscale ★ Spacious w/Premium Upgrades,Entire home/apt,88,1,11,2.77
Modern 3/2 Home | Roofdecks With Skyline View,Entire home/apt,149,29,1,0.6
Gated Community in Hip North Loop Neighborhood,Entire home/apt,62,1,21,4.41
Central East Austin cabin retreat. Amazing view.,Entire home/apt,90,2,17,3.78
Picturesque Group Travel Retreat | Quick Uber DT,Entire home/apt,690,1,62,12.4
Stylish 3BR  Private & Sanitized  Dog Friendly!,Entire home/apt,255,3,10,2.16
Cozy room,Private room,38,30,1,0.36
Bayou Paradise,Entire home/apt,90,14,4,0.96
New Modern Glam 4BDR Oasis Near Domain & Downtown,Entire home/apt,177,3,14,3.04
Detached Light-Filled Garage Apt Near Downtown,Entire home/apt,99,2,8,1.86
Luxury Downtown Condo,Entire home/apt,100,30,0,
Lakeway oasis,Entire home/apt,774,2,11,2.31
Sweet Avion No 5 @ Queen of the Road,Entire home/apt,65,3,2,0.51
25% Off Luxurious House Minutes from Downtown,Entire home/apt,350,14,0,
Sweet Tiny Home in East Austin | Kitchen | Private,Entire home/apt,105,2,28,5.87
Curated New Home in Walkable  Vibrant East Austin!,Entire home/apt,195,29,2,0.69
Austin Modern Getaway + HUGE Corner Balcony,Entire home/apt,129,2,9,2.5
Austin Modern Getaway + Balcony,Entire home/apt,126,2,0,
Upscale  Luxury Home | Hot Tub,Entire home/apt,495,4,16,3.38
Stylish and Bright | 4 BR Sleeps 11 Patio+Backyard,Entire home/apt,294,2,16,3.61
Sonder *Monthly Discounts* 1BR in Travis Heights,Entire home/apt,141,2,1,1
Hidden treasures await among the exotic foliage.,Entire home/apt,339,1,26,6.05
A home you will love | 1BR in Austin,Entire home/apt,97,30,0,
A home you will love | 1BR in Austin,Entire home/apt,102,30,0,
A home you will love | 1BR in Austin,Entire home/apt,103,30,0,
A home you will love | 2BR in Austin,Entire home/apt,134,30,0,
A home you will love | 1BR in Austin,Entire home/apt,107,30,0,
A home you will love | 2BR in Austin,Entire home/apt,152,30,0,
A home you will love | 2BR in Austin,Entire home/apt,146,30,0,
Beautiful Bull Creek Condo on 360 and 2222,Entire home/apt,110,30,13,3.1
Cherry Creek Home 2 BR 1.5 BA  Covered Parking,Entire home/apt,85,30,0,
St. Amant Place 2 BR 1.5 BA Covered Parking,Entire home/apt,85,30,1,0.77
Cozy Home 12 min from Domain w Ecuadorian Food!,Private room,39,1,3,0.66
Hip Room In Austin TX Great for ALL!!,Private room,30,1,2,0.45
Private room with restroom inside,Private room,80,2,0,
Downtown Austin & University of Texas All In One!,Entire home/apt,121,1,13,3.25
Austin Modern Retreat close to downtown,Entire home/apt,1045,7,9,2.29
Private End Unit in the Heart of South Congress!,Entire home/apt,105,90,0,
Guest House on Fitzhugh Road in the Hill Country,Entire home/apt,157,2,12,2.77
A Charming Brentwood House on a Quiet Street,Entire home/apt,175,2,5,1.15
Music House in East Austin / close to downtown,Entire home/apt,250,3,0,
Bouldin Blue Baby,Entire home/apt,110,1,6,1.45
BoHo Chic SoCo Bungalow with a Backyard & Grill,Entire home/apt,182,2,13,3.25
Luxury 2/2.5 Home in Tarrytown with King bed  Car,Entire home/apt,175,29,1,1
Austin Modern Getaway+ Balcony  Sleeps 10 w/7 beds,Entire home/apt,140,2,5,1.23
Furnished 1 bedroom apartment at The Domain.,Entire home/apt,60,3,0,
Relax in comfort | 1BR in Austin,Entire home/apt,77,30,0,
Spacious Stylish Living 20 minutes from downtown,Private room,49,1,3,0.73
NEW! Modern East Austin Hideaway; Great for Groups,Entire home/apt,442,2,1,0.29
Upscale 1bdrm at Low Rate in Luxury Domain,Entire home/apt,89,2,1,0.25
Urban Loft on Guadalupe - Great Windows & Location,Entire home/apt,168,2,1,1
Beautiful 1 bedroom Condo 5 minutes from Walmart,Entire home/apt,45,1,0,
Secluded Lake Travis retreat on Deep Water Cove!,Entire home/apt,425,2,18,4.29
Adorable ATX Home - 2 Miles From Everything!,Entire home/apt,159,30,0,
Condo with a beautiful green space,Entire home/apt,85,1,5,1.39
Gorgeous Home on Golf Course,Entire home/apt,575,1,3,0.73
Pool with a View; Deep-Cleaned Peloton Sanctuary,Entire home/apt,775,5,8,2.14
Luxurious Austin Studio,Entire home/apt,80,2,6,1.43
NW Austin Home with Pool,Private room,150,30,1,0.24
Beautiful Home On Golf Course!,Entire home/apt,329,5,1,0.29
Musician’s modern condo in the real Central Austin,Private room,40,31,2,0.46
Charming 1920's bungalow in Cherrywood,Entire home/apt,90,2,0,
WOW Home - Backyard  Bars  Restaurants,Entire home/apt,166,1,16,3.72
WOW Downtown Escape! - Backyard  Bars  Dining,Entire home/apt,424,1,0,
WanderJaunt | Clara | 2BR | Barton Hills,Entire home/apt,109,1,12,3.05
Hyde Park Bungalow 3/2,Entire home/apt,169,28,2,0.52
WanderJaunt | Astrid | 1BR | Barton Hills,Entire home/apt,83,1,3,0.7
WanderJaunt | Leigh | 2BR | Barton Hills,Entire home/apt,117,1,8,2.2
WanderJaunt | Tobin | 1BR | Barton Hills,Entire home/apt,85,1,4,0.98
WanderJaunt | Chavez | 1BR | Barton Hills,Entire home/apt,126,1,6,1.53
WanderJaunt | Irving | 1BR | Barton Hills,Entire home/apt,115,1,4,1.03
Stunning Spanish home w/ courtyard pool,Entire home/apt,300,4,3,1.18
WanderJaunt | Crawford | Studio | South Congress,Entire home/apt,76,1,6,1.49
Lake Travis  Surf Boat  Golf Cart  2 Theater Rooms,Entire home/apt,443,2,9,2.48
Your own room with bathroom near South Congress,Private room,89,3,0,
Funky Austin Abode in Travis Heights,Entire home/apt,293,3,3,0.76
Quirky Casita Room 1,Private room,50,1,4,1.05
2BR/2BA - DT Austin & Nightlife w/FREE PARKING,Entire home/apt,150,3,6,1.42
Austintatious OASIS in Mueller near Downtown! Great for Big Groups!,Entire home/apt,408,2,16,3.93
Secluded White Branch Cabin near Austin,Entire home/apt,184,1,60,14.75
Quirky Casita Room 2,Private room,31,1,3,0.84
Selfie Sanctuary Room 1,Private room,46,1,3,0.89
The Austinite,Entire home/apt,89,30,0,
Selfie Sanctuary Room 2,Private room,35,1,2,1.13
Rustic Inn Room 1,Private room,46,1,6,1.57
Rustic Inn Room 2,Private room,37,1,10,2.59
The Hip Hideaway,Entire home/apt,77,1,11,2.6
North Austin Hip Hostel Room 1,Private room,60,1,3,1.67
North Austin Hip Hostel Room 2,Private room,50,1,1,1
North Austin Hip Hostel Room 3,Private room,40,1,2,1.07
Beautifully Refinished North Austin Apartment,Entire home/apt,81,2,5,1.65
Downtown Studio in the Heart of Austin,Entire home/apt,44,30,0,
Charming Austin Oasis with Covered Patio + Office,Entire home/apt,299,6,6,1.43
City Funhouse: 6 Bedroom w/13 beds sleeps 20!,Entire home/apt,158,2,7,1.74
Entire 2 Bed/2 Bath apartment,Entire home/apt,137,1,4,1.02
Rosewood Retreat - Two Story Downtown Home with Courtyard | Professionally Cleaned + Hosted By GuestSpaces,Entire home/apt,278,2,0,
Walking Distance to LadyBird Lake - Luxury 1bdrm,Entire home/apt,90,3,4,0.99
Country Life in Austin  TX,Private room,127,2,1,0.27
Lake Travis Getaway - Private Pool  Boat Ramp  short walk to Cove  2 Masters  Outdoor Kitchen & Bar,Entire home/apt,888,2,2,1
Mid-Century Modern Greenbelt Getaway,Entire home/apt,189,2,6,1.48
Park/Lakefront House w/Hot Tub Kayaks- Sleeps 6,Entire home/apt,271,2,25,6.88
4BR/2BA - DELIGHTFUL LOCATION -  WALK EVERYWHERE,Entire home/apt,172,3,3,0.87
Relax in your own apt | 2BR in Austin,Entire home/apt,108,30,0,
Country Life in Austin!  ,Entire home/apt,127,1,1,0.28
3 Bedroom Bouldin Creek Retreat | Professionally Cleaned + Hosted By GuestSpaces,Entire home/apt,127,2,4,1.09
Apartment living at its finest | 1BR in Austin,Entire home/apt,94,30,0,
Beautiful cozy getaway in South Austin,Private room,45,1,1,0.29
Kasa Austin | Work Friendly Studio with Kitchen + Fast WiFi | City Center,Entire home/apt,126,2,7,1.81
Kasa Austin | Contactless Studio  Walk to Dining & Nightlife | City Center,Entire home/apt,114,2,5,1.85
Kasa | Austin | Beautiful Studio Apartment,Entire home/apt,117,2,3,1.29
Kasa Austin | 2BD/2BA + Balcony  Walk to Lady Bird Lake | City Center,Entire home/apt,202,2,7,2
Kasa Austin | 2BD/2BA + In-Unit W/D  Walk to Congress Ave | City Center,Entire home/apt,190,2,5,1.27
Kasa Austin | Family Friendly 2BD/2BA with Sofa Bed + Balcony | City Center,Entire home/apt,239,2,1,0.64
Kasa Austin | Work Friendly 2BD/2BA + Fast WiFi + Balcony | City Center,Entire home/apt,178,2,2,0.61
Kasa | Austin | Breathtaking 1BD/1BA Apartment,Entire home/apt,177,2,8,2.14
Furnished  Private bed+bath  500+sqft  clean Condo,Private room,59,30,0,
Entire place 3 miles to Airport & Downtown,Entire home/apt,81,3,1,1
Stay in a place of your own | 1BR in Austin,Entire home/apt,85,30,0,
LIVE IN COLOR! Sleep 14+ w/10beds & private yard,Entire home/apt,221,2,3,0.76
LOFT INSPIRED - STEPS TO 6TH ST  COLORADO RIVER,Entire home/apt,163,3,0,
East Austin Treehouse Retreat,Entire home/apt,169,2,10,4.11
Cozy Apartment near Downtown,Entire home/apt,77,2,12,3.46
The Little EastSide Cottage,Entire home/apt,112,2,13,3.39
Stunning Lake Travis Home with heated pool!,Entire home/apt,906,2,1,1
Quirky Casita,Entire home/apt,94,1,0,
Selfie Sanctuary,Entire home/apt,77,1,2,2
Rustic Inn,Entire home/apt,99,1,4,1.28
Honeycomb Airstream Dream,Entire home/apt,60,3,0,
Starship Arrow Flite,Entire home/apt,60,3,0,
My Humble Abode,Private room,45,1,0,
Spacious living room for 3 night stay!,Shared room,40,1,0,
Corner Room in 1950s Central Austin Bungalow,Private room,40,1,8,2.09
Peaceful Ultra Modern Convenience at CC's Crib,Entire home/apt,84,2,12,3.21
A safe place and quite neighborhood,Private room,55,2,2,0.79
Cozy private bed & bath in the heart of domain ATX,Private room,60,1,0,
Charming 2 bedroom in Heart of Cherrywood,Entire home/apt,130,3,3,1.03
Villa Travista - Panoramic Lake Travis Views,Entire home/apt,2643,2,4,1.36
A place to explore in austin.,Private room,350,1,0,
Lake Austin Room in Silvan Valley (E),Private room,63,3,2,1.15
free pizza house,Private room,55,1,8,3.58
Townhouse mins To downtown/5 mins To Zilker Park,Entire home/apt,139,1,4,1.03
Interior Designer Owned - Brand New Austin Home,Entire home/apt,146,28,1,0.46
Peaceful & convenient walk to the greenbelt,Private room,34,1,2,0.78
Clean  comfortable apartment | 2BR in Austin,Entire home/apt,207,30,0,
Clean  comfortable apartment | 2BR in Austin,Entire home/apt,207,30,0,
Clean  comfortable apartment | 2BR in Austin,Entire home/apt,520,30,0,
Clean  comfortable apartment | 3BR in Austin,Entire home/apt,528,30,0,
Clean  cozy place of your own | 1BR in Austin,Entire home/apt,86,90,0,
Clean  cozy place of your own | 3BR in Austin,Entire home/apt,128,90,0,
Three-Story Timber Ridge Treehouse | Professionally Cleaned + Hosted By GuestSpaces,Entire home/apt,563,2,2,0.98
Christina's Room,Private room,34,1,2,0.53
At Longhorn Suites Austin Near Downtown/UT/Expo,Private room,67,1,10,2.73
At Longhorn Hotel Near Downtown/UT/Expo,Private room,77,1,6,1.54
At Longhorn Hotel Near Downtown/UT/Expo,Private room,77,1,1,0.44
Downtown Austin Studio for 4 Rooftop Pool is OPEN!,Entire home/apt,210,2,0,
Comfy  Private Room in Central UT Neighborhood,Private room,40,7,1,1
Fresh 1 bed 1 bath condo close to downtown,Entire home/apt,90,2,10,2.7
At Texas Bungalows Studio Austin/Domain North,Private room,63,1,6,1.57
Apartment living at its finest | 2BR in Austin,Entire home/apt,145,30,0,
Stay in a place of your own | 1BR in Austin,Entire home/apt,82,30,0,
Upscale apartment home | 2BR in Austin,Entire home/apt,98,90,0,
Love the place you stay | 1BR in Austin,Entire home/apt,88,30,0,
A homey place just for you | 2BR in Austin,Entire home/apt,121,30,0,
A homey place just for you | 1BR in Austin,Entire home/apt,108,30,0,
At Texas Bungalows Studio Austin/Domain North,Private room,63,1,3,0.78
At Texas Bungalows 2 Queen Studio Austin/Domain N.,Private room,75,1,8,2.07
Great place to stay in Austin!,Private room,33,1,3,0.82
Cherrywood Bee by the creek,Entire home/apt,111,30,1,0.26
Katie's Room,Private room,30,1,0,
Modern 2 bedroom home in gated community w garage,Entire home/apt,179,3,2,1.25
Entire APT - Downtown Living,Entire home/apt,76,1,10,2.97
Bright East Side Home w Great Kitchen,Entire home/apt,150,7,2,0.75
Honey Tree House,Entire home/apt,500,5,0,
Hyde Park Craftsman - Private Room with Ensuite.,Entire home/apt,87,2,3,1.13
Modern artsy bungalow w/ big yard near downtown,Entire home/apt,203,1,16,6.96
Gorgeous and NEW! WALK TO SOCO/SOLA/DOWNTOWN!,Entire home/apt,575,2,6,1.82
3BR/2BA ON SOUTH CONGRESS - WALK EVERYWHERE,Entire home/apt,165,3,6,1.71
The Maui Room ~ In Hawaii Inspired Home,Private room,40,4,2,0.59
Heated Pool + Spacious 3 Story Home - Luxury Eagle Lookout Estate | Professionally Cleaned + Hosted By GuestSpaces,Entire home/apt,682,2,10,2.8
Clean  cozy place of your own | 2BR in Austin,Entire home/apt,107,90,0,
The Austinite,Entire home/apt,224,2,6,1.76
Clean  comfortable apartment | 1BR in Austin,Entire home/apt,132,30,0,
Modern Contemporary Suite - Private Keyed Access,Entire home/apt,85,2,7,2.02
Walk the Drag like an Austinite with a Pool and Parking,Entire home/apt,67,1,20,5.56
WanderJaunt | Denson | 1BR | South Congress,Entire home/apt,111,1,1,0.34
East Austin Home w/ Backyard Oasis,Entire home/apt,218,2,2,2
The Local’s 1938 Cottage in Hyde Park,Entire home/apt,170,1,6,2.07
East Austin Cutie,Entire home/apt,250,2,2,2
Modern 1/1.5 with pool,Entire home/apt,100,7,1,1
Great Location 1 mile to Downtown Austin!,Entire home/apt,144,2,7,2.88
Downtown Austin condo,Entire home/apt,150,3,0,
Bright and sunny private guest house in 78703,Entire home/apt,70,5,4,1.45
Guest Suite in East Austin Bungalow,Entire home/apt,60,1,27,12.86
Geraldine - 5 minutes to downtown!,Entire home/apt,500,1,1,0.35
Modern space close to Tech Ridge & Domain,Entire home/apt,73,20,2,1.13
Peace and lovely place,Entire home/apt,60,2,5,1.56
Spacious Private Room Near UT and Downtown,Private room,40,7,2,0.67
7 Bedroom Historic House w pool on South Congress!,Entire home/apt,757,2,1,1
Charming Vintage Home in Rosedale!,Entire home/apt,221,1,2,1.33
2 233 sq ft WHOLE HOME. Gorgeous Deck & Backyard.,Entire home/apt,250,2,5,1.88
Central Private Room Near UT and Downtown,Private room,40,7,0,
New Modern East Austin Condo - 3mi. from Downtown,Entire home/apt,214,2,10,4.48
Central Private Room Near UT and Downtown,Private room,38,7,1,0.45
1 BR condo at Wyndham Austin  TX,Entire home/apt,300,2,0,
Private Quite Room,Private room,90,1,4,1.97
NEW!!! Stunning secluded lake house nestled among trees and perched on the edge,Entire home/apt,584,2,10,3.23
3BR 2.5Bath at Lake Travis,Entire home/apt,200,5,0,
Wyndham Austin Resort ~ Rooftop Swimming Pool!,Entire home/apt,276,2,6,2.14
Cool and Clean 1BR Eastside Apt2 w/ fast WIFI,Entire home/apt,79,2,4,1.32
Adorable bedroom in Central Austin,Private room,30,60,0,
Designer Inspired Home in Trendy East Austin,Entire home/apt,168,1,1,0.46
Private condo  fully loaded adjacent to park.,Entire home/apt,65,2,0,
Cozy East Austin Private Room,Private room,31,1,3,3
Monthly Rental Available!,Entire home/apt,83,30,0,
5 Minute walk to Zilker Park & Barton Springs Pool,Entire home/apt,55,25,1,1
The Fairy House dream sanctuary in South Austin,Entire home/apt,247,3,0,
Private Bathroom and Private Room in Fairy House,Private room,46,2,5,3.19
